CacheRefs;CacheMisses;Energy(J);time(s)
149092951;28374523;354.59;171.586802045
52774141;18486758;336.18;169.675968449
57399333;23026446;338.03;169.849735211
53674636;20490603;337.69;170.027116484
53216497;18631210;340.12;169.69464596
57407386;20113139;347.42;170.168073567
50127243;17079739;361.4;169.64227706
61336853;21431207;367.21;187.115111324
54949116;20339462;344.07;169.729089378
53120931;19012629;361.44;169.643273474
51620005;18420031;346.56;171.502821724
50410080;18228785;345.15;172.295095581
52900523;20140526;350.64;169.710068254
68126105;25564248;341.43;169.792978151
49981815;17917627;344.48;169.720851859
50966054;17861628;342.4;171.68296302
53701965;18656992;348.41;169.821245525
54792867;18960015;349.71;170.199639972
53251505;18625795;348.24;174.52959903
57480990;19976176;362.16;173.563092057
50176488;17744061;350.42;169.988983838
52620593;18439377;351.95;169.644475372
55195615;19294757;367.77;169.850082765
59816052;21511594;362.81;169.730473309
51086385;17293784;365.59;170.005783286
51049779;18045356;345.38;169.985672392
51056223;17387788;362.67;169.932481287
50962758;17971116;354.44;170.149967691
49366775;16999774;363.65;169.764517645
49921694;18093447;351.98;169.784533397
55447543;19409173;363.57;169.624788416
53111825;18827670;363.95;169.947801802
52249047;19678813;352.17;170.028627954
57520662;21286778;375.06;183.808595002
52785325;18546498;347.6;169.825253425
55038456;19143376;356.85;170.000901152
50648774;17929898;354.97;170.088080364
50890937;17512229;376.92;169.956732412
50869326;18413071;362.27;169.743821517
51641907;18807442;354.14;169.602606963
52078693;18239347;357.09;169.822558814
50018357;17881389;357.1;169.642002171
50013931;18458144;348.38;169.768472812
52944833;19116785;352.46;171.357793499
51740422;18264465;352.13;169.937425607
50167740;17737361;356.92;172.337514052
50022712;17620186;361.34;170.07223113
49518964;17800618;363.64;169.68775015
50210863;17582089;354.11;171.070250408
53673737;19021752;364.04;171.786550002
58575251;19791684;362.49;169.699077089
48984146;17368583;359.6;169.89985641
54003045;19203272;347.85;169.750535688
56055435;20672468;348.76;169.797044561
50640654;18539592;348.35;169.654229096
56940069;19256765;350.74;170.004651242
52804682;17962911;344.5;169.8103954
54475673;18790327;344.6;169.817567115
53423387;18429596;364.71;186.940694407
57528490;20354315;337.04;169.931121508
53789888;18453479;349.95;170.204112682
56197844;18924270;346.17;169.89356703
64623873;21786331;339.03;169.801406374
58919920;21742922;347.95;169.73843487
56908349;20686532;356.78;169.754240131
51745635;18415267;357.63;170.325817276
50898114;18056204;351.05;169.75613312
54963628;18772103;352.62;170.066491677
56080442;19069526;362.9;184.296263686
56381664;19774437;372.88;169.648631252
46593733;17149582;366.45;169.909637246
44566140;16144190;360.83;169.806250912
46951525;16711407;360.15;169.952197203
50437091;18790227;351.33;169.610696879
50995383;18338395;343.81;169.959737346
46478792;16112711;341.14;169.862709172
47065478;16567078;347.76;171.940894368
47021071;17123816;342.09;169.664296711
44706076;15715185;365.39;171.869954842
51244236;17969381;377.42;169.90727317
50299002;17776565;374.09;169.671447603
52792852;18599087;370.91;169.813348092
44353999;15559363;367.33;170.218350699
48412660;18534548;363.46;169.607945795
47065750;17976087;355.9;169.691856787
50793923;16843003;357.22;169.801859311
47971120;17052625;373.38;169.697141257
51353586;17379663;376.75;169.870200574
45583007;16280975;368.86;169.622988635
50251582;17930251;350.45;169.972870334
51336424;18722837;376.11;179.002249586
50260558;17444102;367.96;180.326076762
50083613;17324835;344.35;169.952689221
51082418;17890224;363.05;169.891766009
51701551;18999473;362.08;170.014692832
51286807;17946538;378.46;169.727036043
50010880;17834236;374.74;170.088839124
50452897;17487959;373.36;175.184090533
50485683;16965995;369.34;171.796003626
49498490;17431441;362.82;170.081592039
