CacheRefs;CacheMisses;Energy(J);time(s)
54323308;19287853;375.22;172.981356333
49088575;17711212;370.1;171.129018276
45431886;16706002;383.77;173.196959936
53464134;19589516;372.57;171.078765625
48368805;17119281;362.85;171.104970485
50005432;18121520;404.53;189.015475965
53843209;19001935;376.5;171.464649842
52628667;20195549;369.52;174.38362374
51973810;18989929;373.33;171.324068145
47943473;17193977;386.38;173.441473755
47147392;16715300;376.15;171.288200739
48277109;17227318;360.83;171.60346317
51000504;18392453;377.79;171.760126841
44538115;15670066;380.84;171.188050798
47429994;17544883;370.03;171.204405581
49026985;17885336;365.21;171.824268911
47799474;17176005;375.8;171.115925683
46679040;16820971;382.89;172.514866698
45604669;16902860;362.79;171.344943685
53939103;20329740;356.02;171.331335179
49147702;17662413;379.99;171.535762786
49801414;17554767;378.19;171.296196073
48806664;17432301;357.16;171.517714109
46268441;16554118;363.91;171.09917453
47582380;16916351;382.26;171.553638369
50263033;17514069;375.53;171.662929887
50929160;18891421;366.16;175.73410906
48559019;18183137;372.67;171.086800314
45793680;16933251;412.45;192.817449002
49904229;17814107;363.66;170.895634414
47653081;18391105;365.76;172.75010515
50649515;19343571;383.23;171.903065342
47277379;17491360;385.67;173.382173948
47610855;17524434;378.23;171.387217222
48613258;17157399;377.79;171.707494089
45071016;16719596;381.85;171.318458422
46104416;16798028;380.23;171.023815656
47667008;16707547;376.84;171.414455781
50388361;18546833;376.36;171.95367891
49621181;17470564;385.29;172.918268889
48188468;17359154;378.91;171.171718078
51357451;18723182;365.1;171.203323972
49666883;18742031;376.08;171.281577403
57018828;21610673;382.37;171.413812168
49266555;18368117;379.7;172.227000688
47672960;16991385;377.37;172.928171251
51222298;17132659;376.44;171.26242573
52330228;18513293;381.19;171.059104896
45711434;17104266;368.94;171.240712813
51043520;18102840;364.95;173.390458153
46185559;16347572;377.87;171.77088291
45457129;17331392;380.41;171.264983882
51096775;18456048;370.55;172.233428238
47703398;17300453;374.05;171.377116922
48967829;18574072;377.31;171.858419723
52010962;19930275;387.4;173.71140416
49528074;18371007;386.7;174.543239604
48452266;17527158;382.28;174.003904437
47986216;17492922;376.3;172.637364454
48301743;17427017;382.56;171.744435977
48338607;17615482;375.92;171.696361194
45167578;16201984;377.74;171.468714227
44622955;16177990;380.52;171.049866824
45414116;17712881;380.82;171.573578983
53295235;19241171;378.39;171.598702824
51844130;18241110;388.57;176.413954396
53005038;20020944;381.33;171.139404507
49611289;18856261;380.99;171.049410992
49349116;18468125;375.1;171.269197894
50950906;18307177;362.75;171.342449714
47802602;17193892;380.42;171.324109837
46841427;17082719;374.76;171.455373116
48164683;17675129;362.42;171.178272999
45290505;16417178;377.42;171.403850874
46759952;16826209;381.33;170.991192166
45561845;17167835;379.72;171.053070317
51221995;18300342;373.7;171.226163193
48118644;17842620;382.31;171.982044898
54123380;21001232;381.73;171.334340192
54658354;20179801;380.26;171.952794852
49178625;18573306;377.07;171.147016738
49874648;17691468;392.83;177.409196226
46150064;16862829;417.67;188.931206378
46873577;16871516;375.66;171.146557175
46690470;16248249;381.05;172.690507722
47975135;17093209;381.2;171.031934964
48241484;17256071;395.87;179.171192733
45871764;17305074;381.19;173.113378881
52270465;18558110;382.63;173.399382743
45604415;16711018;379.23;171.072230618
50344487;19210230;371.48;171.587593538
55345502;20937330;363.63;171.438710449
47352753;18058584;379.57;171.298519745
46789117;17105845;383.33;174.62320746
61579205;23271213;373.42;171.397705878
51967580;18166631;371.93;171.132246518
49335612;18717321;382.71;171.702707949
52203630;18830868;376.55;171.393737972
47841865;17494109;378.83;173.505083189
48956427;17225364;380.71;172.741510056
