CacheRefs;CacheMisses;Energy(J);time(s)
160836745;33926156;106.24;569.621136262
52422848;15279949;693.61;310.984622172
45309704;14693350;674.89;310.527879246
38697146;11220263;684.56;307.687914366
44718025;15126390;681.38;308.444931538
52158129;16741198;96.53;570.55253967
40281724;11955475;681.87;307.180932458
37592825;11006518;688.29;309.847234223
38905951;11736528;687.72;310.111521567
37419072;10965516;682.14;307.944192066
38278026;12425746;685.84;308.478391995
37443135;12145535;675.6;306.829168728
47514246;14029267;683.29;310.348489748
37710185;10956825;682.04;307.321272309
36235668;10342604;691.68;312.086104772
37797950;11666001;686.68;309.096174998
35155065;9789779;683.08;306.774312147
38929702;13406774;686.54;308.193836876
48669535;14699576;688.84;312.750077038
39464973;11676235;681.67;308.236426325
43812053;12452206;691.86;310.717942482
37913434;11148639;683.97;310.403355061
38750490;11401888;680.89;307.030699809
42875071;12975586;685.95;308.177271011
38900174;12826868;684.16;309.120252229
38627617;11610579;681.41;309.185746052
37950002;10939352;680.94;306.534887836
45275084;13650194;685.85;308.6731692
35378781;11134472;686.68;309.798041157
35723564;10766273;691;310.53790933
41213985;12321988;682.44;308.399091322
42892295;14278113;679.6;310.216583095
37953604;11112513;684.52;311.036551729
30322505;9062993;678.79;308.598506058
34425942;10185258;689.11;310.704240639
36538969;11138781;680.17;307.009647178
38959114;11775491;669.69;306.679568679
39128233;13796830;685.54;310.784742332
35639819;11455930;684.07;310.593808471
31919496;9434828;687.92;311.15884973
36776463;10695044;719.63;323.559365674
34021096;10121087;680.98;308.106595135
33002874;10077746;682.68;308.210215789
39074051;12435711;689.11;310.979924379
41794208;14153994;690.75;310.437094497
34500144;10591906;691.89;311.256000291
32309478;9497466;690.13;310.111455882
35327840;10414821;685.98;311.248323439
44870952;13150005;91.33;568.167451087
34289652;11257401;692.19;310.79123294
38493249;13301518;687.5;310.182632469
35136174;10064274;688.98;310.025620019
34929117;10223817;685.68;310.564257045
41258206;12257991;691.01;310.646946525
37421973;11421191;679.17;308.255208829
31377990;9413418;681.03;307.471410126
39907374;13249048;686.38;308.19160969
38481240;12537000;692.87;315.498311276
37714879;11002669;683.34;307.743012368
45740359;13026256;672.07;309.313941089
38919040;11039683;685.41;310.662905037
44897294;13538803;684.16;308.418681485
44668580;12932830;686.27;308.276425694
57681989;18816997;681.56;306.928841659
41573945;12651509;685.02;310.724416906
41385574;11656159;688.66;309.069424542
44175682;12525401;683.3;308.141806758
35855263;10508972;685.81;309.079206936
35080340;10717551;689.01;309.564440105
37317363;11859540;681.06;308.377270303
44142110;14249273;689.84;310.563503627
37173282;10968772;683.65;309.011444908
34404212;10109787;687.21;309.754269172
32447720;9442151;693.52;311.221941792
35944120;11262659;681.21;307.598789117
37489870;10723538;683.52;308.018049847
37661444;11980921;684.7;308.312749753
40836803;13845698;678.85;309.808687304
53758811;17763903;674.73;306.981275133
44156340;12736113;685.35;307.993032818
32025354;9350868;687.04;310.406400161
38588649;11689594;691.78;310.536251516
37878798;11034462;688.08;309.383519929
42098710;14037249;681.81;306.707636373
38223211;11764617;691.88;311.670169683
36663841;10688471;673.04;307.50414249
39988567;11109513;688.4;310.397847251
38008053;11100249;668.53;306.854199227
40590065;12498492;686.97;310.676372564
37051323;10597343;684.45;310.042569665
36225372;12173124;686.25;308.164786335
41916164;12652178;686.29;309.627397046
41559232;11521599;688.38;309.691196794
34880121;10263907;677.01;309.823005152
39360015;12052015;685.93;309.810377332
38994258;11808237;691.14;310.661201526
34547274;10418374;688.18;309.125844842
39388969;12938655;684.84;307.875401333
34798674;10160365;685.16;308.229062495
35825080;10399898;691.05;310.791641597
