CacheRefs;CacheMisses;Energy(J);time(s)
4324154;867425;2.06;0.914840796
4186827;845336;2.03;0.898025146
4076229;792720;2.06;0.917075936
10766103;3055655;2.16;0.905150603
10017557;2650724;2.17;0.921594626
9940356;2543714;2.14;0.907339299
10741642;2985372;2.17;0.912486896
9885654;2584496;2.16;0.917482959
6525633;1826925;2.1;0.903366537
4292451;776060;2.07;0.914479721
4332340;815547;2.05;0.910346262
4269641;760828;2.04;0.90187877
4071238;775584;2.06;0.913663796
4240916;887052;2.04;0.902079471
4470727;912555;2.07;0.917483444
4130266;682503;2.1;0.935822744
3987273;735877;2.04;0.90670886
4136739;800115;2.04;0.906051915
4293854;790721;2.06;0.911585922
11089320;3285180;2.15;0.911129964
9970856;2592243;2.14;0.912749699
9764672;2625274;2.11;0.897315632
9714663;2592270;2.13;0.907197589
9408497;2466459;2.14;0.912924779
7555346;2220738;2.14;0.9210832
4184735;725634;2.07;0.917026294
4101314;690500;2.04;0.901136865
4379423;787741;2.05;0.904792059
4332850;841488;2.04;0.903493621
4277573;880654;2.05;0.91007296
4012665;713727;2.03;0.897334302
4342267;862773;2.07;0.917830244
4248274;742751;2.06;0.91365319
4220789;733113;2.05;0.906588109
11026271;3230300;2.14;0.898609008
10157061;2684659;2.15;0.913513886
9690681;2544686;2.13;0.908412
10703470;3026960;2.18;0.921641688
9987305;2632483;2.16;0.92265313
6904555;1864106;2.1;0.903962935
4186905;801716;2.05;0.912168169
3996776;742076;2.04;0.906535796
4098298;790733;2.03;0.900058564
3923456;663511;2.03;0.899937002
4245231;774621;2.05;0.904814475
4033171;722395;2.03;0.899618362
4264668;772251;2.06;0.913097769
4146258;840797;2.06;0.916583905
4716149;788361;2.05;0.903985121
3976346;734572;2.03;0.896152432
11150160;3284118;2.17;0.911452211
9691693;2564480;2.13;0.905564945
9947043;2637288;2.13;0.899635041
9829897;2599241;2.14;0.904790356
9525779;2490525;2.13;0.898719901
7606919;2209637;2.21;0.942214768
4092348;784882;2.02;0.894596644
4265535;739151;2.04;0.902332989
4552107;842996;2.06;0.907791405
4128783;801993;2.08;0.924037156
4369016;825261;2.04;0.904443987
4310447;791072;2.03;0.897612791
4045235;752383;2.03;0.899155371
4219008;762050;2.04;0.905422732
4104972;656217;2.07;0.917696265
11175691;3316355;2.17;0.905129789
9540102;2510581;2.13;0.895575665
9738887;2595624;2.14;0.901093644
10862170;2958939;2.18;0.920248075
9938067;2666865;2.14;0.897037813
7202825;1988656;2.14;0.913192175
4001442;735315;2.03;0.898887703
4323217;779543;2.09;0.926329423
4351292;801335;2.08;0.92037448
4302436;807355;2.05;0.908578316
4376636;834007;2.03;0.896144808
4534498;982897;2.04;0.901293032
4011632;721560;2.06;0.917919656
3928785;681414;2.04;0.903698175
4125288;801715;2.08;0.925376559
4246380;783115;2.07;0.917409332
10995756;3161523;2.18;0.914962413
9718206;2573362;2.16;0.907799181
9524201;2575287;2.13;0.899305751
9815691;2532505;2.14;0.901483246
9721470;2480812;2.18;0.919476921
7617240;2249310;2.1;0.895538043
3909940;665960;2.03;0.900161091
4282391;773252;2.05;0.907259373
4287022;759129;2.05;0.908489391
4320053;814508;2.05;0.904839272
4015045;722808;2.06;0.915583899
4331939;809862;2.05;0.910128919
4171089;846614;2.02;0.892259664
4302290;793527;2.03;0.897606967
4306146;842914;2.05;0.906826914
11081423;3178865;2.18;0.914634104
9959358;2730847;2.16;0.910942528
10005903;2634363;2.18;0.923923856
10548588;2889932;2.16;0.913164194
