CacheRefs;CacheMisses;Energy(J);time(s)
53779724;23917911;3.09;0.959014942
16422692;2452698;2.4;0.939973345
25952691;6466148;2.55;0.93971904
17409079;1867481;2.37;0.910940522
29616726;8834213;2.66;0.951589862
7558400;1343958;2.18;0.927738012
9359942;4151498;2.22;0.950241189
3082776;606402;2.12;0.929025876
2803858;523968;2.09;0.935161137
2751782;562946;2.1;0.922553181
10141392;3024297;2.22;0.93132863
8797120;2279127;2.18;0.924529937
8952912;2348963;2.21;0.946816423
8533559;2163225;2.2;0.935385531
8860724;2514133;2.17;0.934686665
5038523;1342014;2.2;0.963706084
3813977;690392;2.11;0.920226303
3021289;561421;2.07;0.918635951
2649099;570200;2.05;0.919211381
2612894;546848;2.08;0.933976917
2774781;635665;2.04;0.9120977
2808135;624355;2.14;0.956151591
2718449;585075;2.07;0.926054063
2698415;578271;2.11;0.946665087
2591789;539420;2.08;0.930492119
2674062;549233;2.11;0.946023288
9603949;2756390;2.14;0.915074676
8570206;2210330;2.2;0.947381341
8809049;2253566;2.17;0.941271222
8287647;2085754;2.14;0.9212822
11531602;3016698;2.19;0.921592802
6865364;1512262;2.18;0.930412503
2797449;600886;2.09;0.937089189
2783477;615574;2.07;0.924950226
2691653;584930;2.13;0.959293915
2829468;605491;2.09;0.934486965
2868406;661878;2.07;0.923642364
2914286;664196;2.1;0.943578167
2686466;590687;2.06;0.918303025
2627933;541327;2.07;0.927409837
2666512;572235;2.06;0.920386834
2735400;621340;2.07;0.927808763
9698285;2801209;2.18;0.917383114
8561956;2159318;2.17;0.924608534
8384722;2159072;2.16;0.919725559
8218457;2095918;2.15;0.917261482
10091114;2849738;2.25;0.955902571
4232624;1031327;2.14;0.934239269
2518237;464170;2.04;0.909320304
2621558;539190;2.07;0.928850184
2696183;566258;2.08;0.931662878
2999086;633663;2.14;0.955964604
2903775;656932;2.08;0.926952867
2843555;710264;2.08;0.927942522
2522149;477750;2.07;0.92547412
2679582;592232;2.09;0.934359068
3014301;644597;2.08;0.928176345
2724223;597397;2.1;0.937562459
9606452;2752424;2.22;0.939719829
8705637;2265813;2.22;0.947578596
10088586;2539907;2.24;0.933767247
9156394;2255472;2.22;0.93665965
9444307;2717602;2.21;0.935751031
4462109;1190759;2.18;0.956089633
2691464;575379;2.11;0.946188281
2600745;528957;2.04;0.910678825
2747499;599312;2.12;0.952911782
2761999;608664;2.06;0.922937785
2623887;501625;2.09;0.936344911
2719394;595119;2.09;0.933674473
2799810;622961;2.12;0.950748081
3820981;825392;2.1;0.931674424
2563291;477341;2.07;0.926402478
9704440;2908969;2.21;0.935452827
8481845;2335221;2.21;0.944206032
8664268;2368430;2.24;0.961061569
9088258;2621708;2.17;0.919582317
8501792;2472325;2.22;0.943646861
4014605;1001660;2.1;0.920791615
2533594;484735;2.07;0.927799042
2753486;624028;2.05;0.915019048
2533783;477089;2.05;0.915961896
2582587;483646;2.08;0.929758833
2731698;610121;2.1;0.941935025
2645218;569618;2.08;0.932590892
2603665;524497;2.09;0.935588947
2770647;531024;2.08;0.932181406
2680894;544881;2.08;0.931574622
9610804;2931889;2.21;0.936910547
9017665;2491039;2.27;0.971986341
8662181;2364596;2.2;0.9390264
8676717;2318875;2.18;0.927254866
9195856;2637304;2.22;0.938490435
4233337;1006651;2.19;0.959710643
2709760;584494;2.1;0.941815038
2527838;480722;2.05;0.914255807
2948218;619700;2.08;0.930177951
2681886;579405;2.09;0.936621618
2796436;613578;2.07;0.926289657
2726346;599344;2.09;0.932846141
