cache-references;cache-misses;power/energy-cores/;time
102399283;10882810;37.61;16.643676503
10966390;2919062;33.7;15.338739801
10745997;2848424;32.86;15.302227152
10222048;2699878;33.72;15.337812296
10663253;2651659;34.55;16.642601377
10624326;2916658;35.42;16.666109083
9221680;2353395;34.07;15.50013363
10915039;3465552;33.98;15.391048089
9386506;2410513;32.84;15.322943837
11977111;3979233;33.71;15.319296623
9826416;2882088;34.3;15.491427288
10082064;2804824;34.05;15.384886671
9825670;2495631;34.24;15.544044124
10603363;3262396;33.86;15.320905742
9389107;2497554;34.06;15.344694797
10098510;2674601;34.08;15.344961122
10181162;2514260;33.42;15.328808161
10793413;3116195;34.07;15.326336328
11034605;3308441;34.58;15.677108621
9883979;2937642;33.31;15.308780412
10152532;2770229;34.38;15.531785266
9364859;2617135;33.97;15.372194079
9749701;2668543;34.11;15.348839077
9554072;2695854;34.05;15.424832871
10172843;2954468;33.73;15.336144373
9641486;2680781;33.65;15.31390065
10334490;2948547;34.2;15.521853483
9416831;2532848;33.72;15.308987282
10387590;2998506;34.04;15.608356378
9777381;2678859;34.23;15.521711629
12247517;3063148;34.35;15.503308011
11235479;2846554;33.36;15.336500541
10297271;3098599;33.77;15.323501219
9639754;2651698;33.89;15.32999151
10136270;2918922;32.78;15.318669735
9538954;2613614;33.43;15.313860553
9733643;2899797;32.73;15.325137543
9800492;2695800;34.58;15.651876392
10099189;2772654;34;15.319865781
9372077;2448238;33.25;15.325453594
9633901;2754361;33.24;15.335272958
9508931;2586056;33.85;15.345819986
9168403;2445015;33.94;15.320361476
9468675;2534596;34.63;15.709224442
9620735;2714227;34.17;15.450398062
9456794;2581964;32.93;15.332255551
9241518;2460344;33.57;15.325660912
9532708;2649147;33.92;15.323129972
9507612;2684734;34.03;15.448644085
9538820;2574849;33.72;15.334661666
9144474;2414608;33.37;15.312224859
9337000;2371403;34.77;15.802158781
9559879;2614905;33.63;15.325362531
9421565;2484137;33.68;15.309972171
9299956;2550928;33.88;15.338139591
9318373;2446206;33.86;15.344386688
9735151;2817504;34.93;15.825422366
9605089;2659774;33.73;15.329926285
9390519;2618901;35.71;16.646198568
9620757;2688899;33.9;15.34258062
11076762;2842520;33.56;15.339668305
9805821;2585298;33.8;15.332399987
9643690;2736871;35.62;16.642320222
9654722;2847672;33.7;15.331941286
9385309;2515538;33.75;15.320817648
8938008;2283735;33.95;15.358649255
10523541;2680581;33.7;15.316292432
10988868;3075701;33.37;15.323020954
9083461;2333246;33.66;15.390629164
9186328;2352229;34.02;15.32064394
9163804;2267409;33.92;15.331941183
9206586;2437973;33.63;15.33647693
9141335;2359935;33.59;15.316236337
8700734;2096067;33.49;15.306780842
9256854;2420437;34.42;15.703240088
9671228;2704920;33.32;15.351014663
9180094;2370575;34.2;15.451264988
8923701;2172971;34.39;15.5167146
9248766;2378959;34.4;15.49717937
9330145;2490961;33.38;15.321484474
12193768;3181141;34;15.348477814
8923126;2183594;33.38;15.328409842
9338828;2393666;33.89;15.321304294
9174081;2394124;33.52;15.423708491
9222499;2423647;33.46;15.311972641
8917327;2172346;33.89;15.516972138
9108952;2336422;34.05;15.38448101
9131076;2322324;34.01;15.353012651
9244608;2386447;33.52;15.328815655
9016161;2251526;33.5;15.315646625
9190755;2410381;33.47;15.318498921
9230277;2379349;33.91;15.336039292
9221536;2336331;34.04;15.328174463
9179561;2295294;33.44;15.317619562
10149752;2996089;34.61;15.623111348
10774259;3613371;33.95;15.331475655
9663778;2751677;34.24;15.417773915
10356571;3272359;33.62;15.32651528
9121155;2450913;33.9;15.324258414
9208342;2448191;33.56;15.324254647
