CacheRefs;CacheMisses;Energy(J);time(s)
115378652;14703499;142.23;64.986223313
23205206;7299516;138.48;64.981024986
22900383;7458049;130.65;64.941612805
23412360;6693266;136.97;65.576934905
22177832;6836952;133.19;65.091998738
15618428;4721415;134.13;65.037901223
17009145;5072757;132.35;65.705177583
21781758;5819346;128.58;64.944298248
17671863;4772486;134.92;65.030067449
20239443;5462762;128.53;64.979531057
17541185;4780278;132.96;64.955242087
13364661;3527569;130.98;66.559801498
17039319;4616175;132.71;64.932173827
20247727;5741535;134.45;65.575002242
14309793;4178329;134.01;65.076630422
17045987;4906970;128.09;65.031261515
19714577;5429188;131.99;66.563101659
17555707;5824568;128.15;64.906977814
20374187;5816707;135.46;65.759856268
17852351;4814660;135.27;64.977870283
18119087;5056499;137.83;66.80466975
14307609;4167454;128.65;64.979510309
20317003;5537548;133.02;65.000021978
13587448;3845152;135.19;65.480974196
18741369;5232156;130.49;64.966803488
15397649;4304297;130.74;64.990205596
15658543;4535471;136.5;64.960207861
18366844;5702102;130.28;64.915007796
16115169;5078318;130.63;64.900955718
20326876;5718445;135.06;64.939204358
20490363;5627212;132.65;64.943375729
16897379;4434785;129.67;64.922168197
16835661;4713600;132.79;65.551391572
16573956;4521874;131.32;64.918665786
21159766;5738092;138.92;64.948184757
13664610;3845256;137.48;65.204590004
19776929;5468159;133.77;64.937696239
20855860;5950217;137.05;64.94079
15158283;4124581;137.54;64.946283212
15734131;4500852;132.1;65.011354551
21211317;5756295;136.61;64.944392539
17274988;4835784;137.59;64.971608794
15243077;4272862;139.61;65.2919043
19819469;5494622;138.97;64.943350122
14493026;4290842;134;64.969160639
24423619;6622169;135;64.999607497
13676445;3920807;135.79;64.916902474
16192768;4514115;134.42;64.963648889
17103306;4903164;136.45;65.557408038
14354071;4104660;141.52;64.952281488
20595714;5538862;142.08;65.270653492
15062476;4231817;139.8;64.913096918
18136824;5538472;139.53;64.91425334
16232615;4898680;139.8;64.942554901
22137044;6638726;140.88;65.297555256
23352882;7589550;140.54;65.019594978
17056419;4850425;139.61;65.014402304
19953521;5756920;139.38;64.982363344
16492924;4593465;140.48;64.973475815
19389476;5352599;137.04;64.998961815
18237459;4656583;135.93;67.026159502
15966113;4147605;134.98;64.906003535
19727605;5473291;134.88;64.918026484
14738906;3962217;135.76;64.941949654
16430631;4384004;135.59;64.990188416
19289700;5193002;137.82;65.286453604
16584365;4541147;132.26;64.929868143
19408094;5179941;135.7;65.641522309
16808694;4648498;135.27;66.30047102
15223283;4136351;139.32;64.95103197
16420938;4524718;137.16;64.973266922
14066407;4250574;138.2;64.929539617
13513644;3760305;136.52;65.103312143
13678029;3807405;138.16;68.619082744
13474672;3889539;134.49;64.917116513
13520046;3705354;136.27;64.983314415
13563973;3776149;136.82;65.070729884
13721496;3915819;135.19;64.947857509
14067893;4048390;138.95;65.28365215
16775760;4729750;135.43;65.105221199
19780023;6330535;138.08;65.005107001
17677837;5388985;132.11;64.927430472
19225355;5649730;131.5;65.066171697
17170089;4972361;130.47;65.027474107
17079996;4827831;133.22;65.005207915
14734976;4008347;138.33;65.002773477
16967560;4768149;140.08;65.008245012
19410071;5318297;140.85;67.149754729
13329366;3670846;140.1;66.795684834
16637219;4633221;138.53;64.949974266
16342312;4575780;137.65;65.049912316
16219783;4392050;133.73;64.889729777
15114720;4070744;138.83;67.077049552
14061623;3925856;137.96;65.738886186
16877968;4585683;136.94;64.999710523
16455975;4538644;138.79;64.97059513
15315614;4309125;136.05;64.885885129
15909105;4556067;136.29;64.924027492
136944684;49109787;141.01;64.970549931
13266266;3657376;138.06;64.930062583
