cache-references;cache-misses;power/energy-cores/;time
6160422;1756199;47.16;21.163657868
6831207;2283533;46.61;20.901972732
5323069;1281687;46.6;20.979021257
5442407;1444095;46.71;21.015033389
5682067;1540431;46.83;21.019536453
5282726;1224326;46.58;20.912640328
5419791;1273543;46.61;21.010501969
5605171;1542056;46.86;21.059129204
5539662;1418569;47.93;21.515237648
5177166;1184452;46.43;20.885993251
5574068;1450476;46.74;20.985383234
5310282;1310526;46.44;20.910006563
5327822;1329967;46.41;20.880077568
5329019;1295780;46.58;20.899310752
5375108;1306257;46.39;20.810596029
5455635;1317551;46.66;20.932706204
5400885;1359954;46.98;21.085757301
5109436;1227610;46.48;20.866716614
5325815;1342668;46.46;20.839963036
5642278;1454826;46.39;20.81084249
5094675;1174223;46.92;21.059069455
5689123;1470264;46.43;20.83138141
5450153;1311962;46.64;20.926194418
4951190;1066004;46.77;20.993618432
5672665;1495797;46.96;21.060862859
5365381;1300428;46.96;21.080741504
5143347;1186431;46.72;20.972807959
5378832;1406632;46.82;21.012688084
5379140;1308407;47.99;21.540930487
5600408;1412347;46.99;21.076263121
5350321;1397405;46.44;20.905468801
5282723;1211381;46.58;20.894947024
5490177;1323217;46.63;20.99150909
5315198;1347049;46.23;20.814743652
5464203;1342030;46.59;20.982354352
5318992;1290580;46.22;20.808374018
5403005;1378813;46.79;21.055476197
5253311;1251536;46.81;21.047384015
6833425;1699316;46.83;21.053221022
5568371;1458570;46.83;21.047944758
6634163;1750897;46.85;21.081061725
5654341;1456102;46.5;20.888403789
5335421;1266923;46.39;20.812459512
5323694;1250333;46.81;21.00200664
5759172;1494216;46.4;20.816259481
5321137;1277761;47.02;21.095301645
5354657;1382898;46.98;21.074449463
5248766;1358120;46.91;21.042045946
5655803;1491516;46.81;21.035872871
5469341;1355198;46.8;20.995906163
5585155;1491638;46.63;20.913538332
5307907;1318376;46.91;21.045827551
5478245;1371190;46.46;20.841053266
5506834;1523542;46.88;21.034431804
5299888;1277098;46.73;20.958768397
5409050;1341030;46.99;21.075579716
5518047;1404185;46.68;20.935772209
5035885;1150574;47.55;21.34134468
5445872;1368562;46.44;20.830444866
5424679;1378860;46.66;20.931314928
5164926;1219993;46.94;21.059389393
5475672;1367715;47.04;21.098354098
5509337;1345263;46.6;20.918947073
4881213;1054422;46.87;21.024040757
5470884;1409996;47.01;21.090144711
5275360;1234423;46.96;21.067535819
5309631;1285984;46.64;20.925036623
5363568;1356559;46.32;20.819412922
5408563;1338875;46.37;20.819484279
5299819;1243332;46.33;20.804075211
5412585;1381855;46.39;20.809039591
5369462;1315866;46.92;21.042088663
5236845;1223759;46.96;21.071402221
5247825;1254182;46.48;20.869851994
5563725;1390591;46.92;21.046260942
5347437;1297917;47.21;21.174208088
5900882;1710954;46.45;20.829457229
5749127;1657501;46.86;21.023411688
7304828;2589026;46.96;21.053489038
5327276;1293250;47.08;21.11659441
5278186;1346474;46.64;20.91940459
6752582;2280383;46.44;20.8223528
5634968;1490788;46.51;20.866146929
5010282;1128168;46.97;21.062439563
5886217;1730605;47.33;21.226129719
5422920;1320444;46.89;21.034627547
5218156;1217724;46.63;20.916763202
5543733;1474462;46.72;20.960466954
5557754;1422443;46.85;21.015915789
5418335;1321169;46.68;20.9397361
5212251;1281524;46.64;20.922206839
5382476;1277612;46.48;20.848807041
5429387;1353965;46.53;20.868672403
6883117;1739371;46.89;21.020849655
6606334;1577601;46.89;21.022051362
5473840;1371656;47.49;21.30321798
5544141;1425188;46.96;21.06701811
5161892;1212333;46.59;20.89628307
5649005;1433601;46.75;21.029750269
5455657;1314060;47.09;21.130027405
