CacheRefs;CacheMisses;Energy(J);time(s)
100716452;8236586;48.61;20.945209857
9634108;2769084;47;21.073323579
7422255;1851320;46.52;20.871509411
8407663;1918920;46.42;20.904340374
6521539;1701773;47.03;21.095470554
7303600;1912887;46.31;20.813898566
7740883;2390826;46.95;21.052233006
8556705;2743957;47.06;21.082017858
7186741;1926682;46.6;20.900804702
8720039;2713723;46.67;20.981808994
6138039;1779084;46.99;21.076117458
6315289;1553101;46.88;21.030001956
6603658;1791054;46.91;21.050332543
7227480;2094402;46.86;21.011179522
6233402;1592295;46.46;20.833490909
7150376;2315791;46.93;21.057739432
6998384;1776101;46.62;20.913677603
6524331;1721584;46.64;20.901852526
6467022;1828888;46.58;20.877336341
6147440;1449552;47.03;21.08857533
5539080;1397312;46.86;21.034922969
6410040;1617930;46.96;21.048297725
5686935;1374373;46.52;20.862500604
5592893;1454439;46.99;21.073037984
6216393;1591985;46.81;20.985836163
5835231;1500333;46.68;20.932143678
5821048;1496464;46.93;21.036092416
6360866;1723613;47.03;21.077265447
7050572;1951054;46.95;21.037790913
5444141;1397551;46.43;20.821988485
7646592;1408799;46.74;20.942440685
8122959;1598481;47.06;21.073000859
5596431;1421037;46.49;20.845345
5483575;1333309;46.47;20.831762227
5511871;1324679;47.34;21.22282496
5451285;1389844;46.93;21.040287155
5476015;1276326;47.12;21.12432067
5707518;1461522;46.44;20.821555711
5373320;1298789;46.48;20.835175319
5200849;1100641;46.76;20.96564842
5511113;1346259;46.84;21.000281597
5496797;1359180;46.63;20.905163983
5415664;1287927;46.9;21.02644044
5532402;1425107;46.64;20.906020808
5322157;1273103;46.87;21.015913644
5471243;1302287;46.53;20.855781029
5492104;1422696;47.01;21.073922655
5553271;1371613;48.25;21.625987405
5455594;1322284;46.93;21.04658728
5353851;1364179;46.52;20.896293291
5308844;1241412;46.22;21.035710193
5445421;1324863;46.03;21.011830722
5412736;1331704;46.13;21.063280873
5403076;1265489;45.17;21.039861075
5487426;1348832;44.76;21.074125902
5896102;1497974;44.34;20.802987537
5415382;1248698;44.34;20.872461472
5657287;1432235;45.43;20.919506542
5463448;1311206;45.39;21.064490237
5145539;1192620;46.38;20.957621988
7015491;1467624;45.92;20.804285639
6482208;1526141;46.54;20.884282833
5249224;1224419;46.9;21.04653268
5850215;1537008;46.38;20.829062258
6145892;1874439;46.63;20.906402462
5212971;1221176;46.95;21.055045333
5968163;1686122;47.52;21.328156317
6627049;2229962;46.9;21.032764362
6192286;2063308;47.01;21.081460324
5662223;1571744;46.91;21.035920198
5826644;1568398;46.42;20.813164006
5952816;1585529;46.53;20.857702447
5733416;1604658;46.74;20.953591531
5647705;1438995;46.77;20.968084476
5640033;1497001;46.62;20.901041242
5597925;1528725;46.59;20.890672253
5651257;1436609;47.22;21.166000114
5641478;1485448;48.19;21.602371574
5616983;1427353;47.02;21.076253423
5373135;1314567;46.63;20.905356707
5581033;1427973;46.43;20.811401637
5421134;1309357;46.95;21.047562981
5290046;1236906;46.96;21.072098313
5431829;1419870;46.71;20.95609228
5671922;1398586;46.77;21.068848893
5611725;1342963;46.55;21.245776826
5403090;1368249;45.2;20.824025151
5496762;1356733;44.57;20.951531011
5191551;1155376;45.41;20.990523406
5548005;1440641;45.33;20.913567879
5304917;1251372;44.51;20.992730664
5420094;1359474;44.54;20.917186015
5447463;1389869;46.07;21.04222791
5559172;1333435;45.88;20.905200211
5695320;1439531;46.19;20.832507399
5508791;1325356;46.4;20.826330684
5275684;1295391;46.56;20.900974859
5779503;1511118;46.63;20.917686829
5588248;1423426;46.75;20.972068871
5329239;1290896;46.87;21.02734492
