cache-references;cache-misses;power/energy-cores/;time
124292767;17493654;303.45;154.117833682
26367436;8459003;298.5;153.783361457
26675980;7571691;299.06;154.135975638
25608446;8150761;298.55;153.76741273
20362012;5985216;297.59;154.405348169
19397145;7748014;298.46;154.054026895
14056263;4453127;301.26;154.37798502
11160449;2938727;302.14;154.065044627
12689503;3270374;301.17;154.457456262
16882474;4823698;301.57;154.430770329
13676149;3500984;302.52;154.816184547
12203033;3577173;299.81;153.675374765
11699871;3088016;300.94;154.704664054
14509225;3820761;300.08;153.676434384
12825902;3341533;300.33;154.417814714
13877184;4846944;301.45;154.814465831
16049584;4523204;300.15;154.446988337
15953233;3921806;300.9;154.440539003
14823310;3753703;301.67;154.475304413
13429521;3462528;300.15;154.025496335
18849664;4756856;299.58;154.054579029
17319384;4591986;302.75;154.060167081
15997393;4288638;301.27;154.429893618
18583493;4621420;300.98;154.066752384
13061560;3368501;301.05;154.055548693
15487011;4714378;301.25;154.321840078
13366912;4382102;300.6;154.069712844
11827197;3270389;300.69;154.06043066
15889444;4111706;299.79;154.109700905
21918414;5695336;300.51;153.808704018
18521899;4379281;299.61;154.051232903
18972540;4513729;299.1;154.406591399
17411863;4566008;298.06;154.435788511
18521056;4738790;297.29;154.048256621
18380750;4620261;296.11;153.723643409
17521304;4771974;298.28;154.033502974
21024271;6346534;309.13;154.121862662
19916020;5201706;304.14;154.03216921
15676238;3932622;297.32;154.424311355
15909681;4245529;296.01;154.449325757
17465430;4458245;295.28;153.633075929
14869722;3870316;305.47;154.814871976
17906782;4740396;304.63;154.057237635
11852746;3170148;298.09;153.762080439
11936585;3169239;296.6;153.787444961
15625516;3858593;300.86;154.397787244
18823261;6256985;311.82;154.0769507
14817654;4068031;297.24;153.718657563
14912495;3942876;295.63;154.060780127
16067471;4095424;297.99;154.102537076
17956601;4820854;303.14;154.416080749
15191717;3820928;305.47;154.47777432
14271949;3732484;296.7;154.070478751
11817347;3328167;297.92;154.4910748
12682090;3311904;304.24;154.075504897
11810458;3080111;309.56;153.818064845
14179159;4901796;300.3;154.12526655
12558788;3585623;298.38;154.090266193
11813807;3236813;297.55;154.041995952
11767526;3082621;294.88;153.761350435
13037726;3286352;295.83;154.402741222
12019745;3136999;296.17;154.442269461
11837805;3129732;295.89;154.405405716
12072582;3312304;295.97;154.041399814
11742804;3028232;295.92;154.014818415
11891025;3166047;295.39;154.027615793
12547680;3768539;295.18;154.047044184
13596832;4486187;297.74;154.495406145
11586427;3100759;296.47;154.810730174
11867611;3105020;296.91;153.764965041
11979310;3189716;296.09;154.009250445
11720501;3134371;297.4;154.095544102
12597581;3744970;298.82;154.854585555
12421326;3385592;296.36;154.47751537
11863851;3186151;295.55;154.010378382
11885092;3029368;297.64;154.471286633
12237403;3405381;296.53;154.44490355
14474633;4933482;298.71;154.528076456
11778289;3238167;298.91;154.492064735
11765803;3149895;297.92;154.079804913
11471434;2898824;296.84;154.415866296
11806959;3195762;297.86;154.422732085
11219196;2823339;297.88;153.769027127
12365049;3570173;297.45;153.706317722
11813868;3113597;296.31;154.06103495
11612537;3040325;296.86;154.407881617
11833961;3094199;297.85;153.747119521
14358170;4886237;300.35;155.106642181
12576965;3670706;298.06;154.07962432
11523893;2949638;297.58;154.834452609
12207944;3277726;299.09;154.478995117
11385751;3064563;298.87;154.080257298
11531912;2878186;299.87;154.465070179
12136983;3535567;297.06;154.067445842
11817961;3142745;298;154.415365658
12049311;3178934;299.43;154.05968963
12385287;3269992;297.13;153.707827098
13218813;4099730;297.24;154.012506241
13309719;4420224;300.23;154.438592662
11170951;2855428;297.93;154.483858133
