CacheRefs;CacheMisses;Energy(J);time(s)
863742412;59312146;215.3;92.389538398
762372734;51120696;213.61;91.153443278
743358541;42527228;213.58;91.74067778
821696149;41980305;217.71;93.700043385
762494965;50101095;213.3;91.161997414
782471567;43465233;213.72;91.113888284
804330323;44830489;214.07;90.996059398
772153678;44950094;217.63;92.041785959
770744936;41265848;211.35;90.873268701
809228533;39456951;218.28;91.815475564
877347703;37607767;219.28;92.958541025
778394369;37240254;217.12;91.31694763
828624974;38255473;215.17;90.805070729
785712931;37402659;218.26;91.570642475
803255281;42118018;215.73;91.937768655
786985675;37566620;217.9;92.131436977
828214962;41858728;222.01;95.258382611
807010491;38234426;220.04;91.708857849
794773360;40655840;221.32;93.424235719
770299717;42914361;215.47;92.046510613
762174271;43350191;214.12;90.892461841
797900794;42232691;222.71;92.441496707
795632169;41150727;214.6;91.284547326
805281770;38240676;216.22;90.488806267
807968093;37701784;218.45;90.988265228
807285495;36406895;221.45;91.969683939
786425976;42213381;218.05;92.840802503
804584923;38330720;220.54;91.844489415
790729724;37285859;220.23;91.357808
779841624;35470980;217.34;90.848404151
848696201;42786847;220.66;92.569428303
795047989;36518440;221.2;91.417406409
806810441;40272001;222.12;92.208175746
777369080;41848312;218.2;92.791974768
776737685;41106271;215.34;91.527702039
788807235;37053230;219.72;90.770495033
778626283;36786683;217.81;91.105331562
818104725;38692347;218.22;91.124383755
753970595;45134102;215.04;91.205059462
795398085;44201826;214.8;91.170939267
866242183;38658852;221.62;93.360428645
787191910;38639357;221.94;92.217345597
791580739;38729652;215.59;91.635593603
801346706;42436843;221.47;92.617922863
770286582;40967051;214.97;90.993805902
781943200;38929155;222.13;91.841459309
813190244;41892183;224.12;92.91924593
772085164;41848271;222.5;92.317528632
812429334;39401565;220;92.22424441
783394755;39349392;218.44;90.978358647
792013022;36637651;219.13;91.495619068
758854771;37863280;218.92;90.470954741
789414534;42392156;220.82;92.238896616
802577318;40203272;225.68;93.664201236
773644117;41456218;218.38;91.082816329
800632297;37355469;224.72;92.921944824
788532086;36253884;222.06;92.536661052
916582715;41924280;234.78;99.484446095
749427934;40889970;220.92;91.544102293
783261788;35694714;220.58;91.224303826
783396374;36546959;232.66;96.462946352
785026314;41118991;221.8;91.434825774
800614824;41419830;232.41;96.734515343
780950605;39541623;220.47;91.095598207
795358276;37029426;224.25;92.241595555
756415424;35528171;214.82;90.51591159
800090688;41295514;220.52;90.927682501
842357526;38795238;219.5;92.196490729
897997619;41169777;221.42;92.945878663
775807617;36965199;216.72;91.292303658
782828129;41267886;222.89;91.890140858
811934070;36911861;220.01;92.264428823
776715521;35429617;223.07;92.099588445
809905257;37100934;214.98;90.57650023
777014021;35264420;218.94;90.834428085
781580394;35955132;223.33;92.058677679
787211232;38505658;219.78;90.638295244
751603239;36882284;219.19;90.319848645
740014511;37613051;217.28;91.436493763
767202585;40677902;215.38;90.974865603
754228069;36344269;216.83;91.621454033
769187796;42179291;220.3;91.176970243
781000675;37535302;219.02;91.413573832
838594442;53300142;234.56;98.759164709
780388152;36875070;222.42;91.835102225
744338097;36785186;221.9;91.200557028
785736921;39028262;232.8;96.694717387
769933474;37752488;215.23;91.147573868
781540895;41100144;218.72;91.583014953
799064045;35699387;221.57;91.406502551
785754006;44421484;221.69;91.347917449
774113776;38566991;219.97;91.363679846
778801446;38609116;221.06;91.804178579
786293104;37815482;220.14;91.135653299
805704496;44927763;220.42;93.345253644
767519756;36157686;219.34;91.270945755
787931033;39964744;217.41;91.685343462
785391352;38138727;221.38;91.476519946
775296029;45032654;217.9;91.40462142
738287118;42006699;220.31;90.226493621
