CacheRefs;CacheMisses;Energy(J);time(s)
22031624;6764274;123.17;55.224868599
18632944;5706272;122.96;55.187583722
18374162;5631358;122.19;55.260879668
20096763;5999395;117.06;55.333893368
19818730;5847838;113.49;55.209719093
21650369;6434862;111.68;55.314576588
17238025;5461229;108.4;55.195632669
20443246;6335522;108.22;55.233735717
18664735;5930115;108.95;55.258735037
19424510;6473694;120.04;55.300861787
18275044;5989666;122.96;55.696972843
19004578;7008297;123.34;55.665085172
21533387;7228106;122.97;55.157540411
17624300;5806526;122.86;55.246006291
17266998;5229791;120.19;55.420177846
17666716;5530514;116.02;55.287528068
20313257;5900706;112.05;56.663114155
17142120;5239020;107.72;55.240908308
20345498;6208431;108.49;55.228701758
17332685;5086232;107.2;55.290451907
17267580;5206811;115.35;59.941321536
17450731;5327591;108.35;55.354792623
19951552;6128616;110.88;56.304348653
18558345;6229298;116.61;56.045997401
20441435;6615719;121.88;55.651262957
18811303;6608734;122.66;55.192438157
20234973;6395702;121.12;55.176952388
19615287;6330052;118.89;56.677016805
21230279;6456759;114.99;55.164742022
17263851;5339717;109.84;55.162968625
20570535;6210584;109.96;55.291588147
19796136;5975569;110.24;55.149005729
18665544;5772355;109.81;55.162554229
21455496;6392181;110.31;55.264733419
17157610;5181183;112.32;56.493659433
17441456;5131353;109.07;55.145243682
16983841;5181966;109.12;55.191270851
17231785;5104011;109.56;55.302931295
17340482;5402363;108;55.315172944
18543042;5664232;109.18;55.220809561
18787623;5837674;107.78;55.307032749
18704212;5888128;108.18;55.162350505
20051555;5715934;111.6;56.619094174
19540482;6403214;109.94;55.150346017
21763483;6744597;108.98;55.312915216
18323391;5576484;108.2;55.301218587
23374797;7282691;107.71;55.173113087
20031846;6423491;108.53;55.331318129
18408108;5688029;111.59;55.230597688
21595633;6401291;107.7;55.254599675
18556217;5816999;108.76;55.272062366
21633481;6798499;108.56;55.257511644
20082921;6006425;108;55.201593674
17656105;5430016;116.33;55.270567982
18970252;6598410;107.93;55.315316895
20263346;6356447;110.36;55.147127869
18744526;6567495;110.73;55.238925318
18027558;5710209;109.1;55.217003512
18718826;6342567;110.04;55.4566265
20486861;6624014;109.38;55.147861329
20331941;6325792;110.12;55.412282046
22796795;6588725;109.61;55.727342278
19787863;5998364;109.88;55.202171231
23611934;6971037;112.57;56.260163538
18782659;6026439;108.15;55.237352429
18538841;5444975;108.45;55.240230794
21391661;6560922;108.78;55.20260221
20177986;6078558;108.36;55.285918167
23269972;6960974;109.06;55.708311066
20322080;6330904;109.86;55.212128954
20800502;6505577;137.1;69.568633629
17036259;5194411;109.29;55.340831492
20159520;6214998;109.9;55.286593338
16677213;4748201;110.33;55.23130303
21211231;6648206;121.53;63.055762237
16600560;4996142;111.29;55.207440289
18322960;6002434;108.5;55.254930283
20193660;6358181;109.75;55.191459816
18252955;5450142;108.95;55.2069657
19721261;5865707;109.49;55.368264834
17579855;5367550;111.24;55.271648377
16940190;5138988;112.01;55.253520343
20373789;6295942;112.94;55.339521397
17100858;5420647;108.86;55.161783598
21465014;7022812;110.98;55.235372321
20806884;6795965;110.17;55.233409553
18883450;6386243;115.28;55.230945783
20554334;6521407;109.3;55.201377848
20215164;5983173;112.99;55.250520447
17498204;5530374;110.2;55.2224712
18693935;5948055;111.39;55.221534868
18408563;5620553;112.95;55.223768011
18599626;5633387;114.6;57.553380284
18342091;5688886;114.21;55.507339842
17122889;5172061;114.71;55.289905947
20313216;6408418;112.43;55.225089366
20118477;6128653;112.56;56.280549271
17171943;5297143;118.1;56.908663734
20235796;6334427;112.91;55.21156181
19932575;6004641;111.44;55.547510981
