CacheRefs;CacheMisses;Energy(J);time(s)
49245799;13326725;116.59;56.215703681
48803162;13343831;119.21;56.254454007
48611694;13288487;112.96;56.236253467
49166732;13473676;123.66;56.261547342
49188571;13186226;124.1;56.27406602
49433483;13459094;127.65;57.069397362
49230672;13213396;125.97;56.271794789
50899093;14073602;126.76;56.652536748
49094909;13183091;125.85;56.269894031
50345881;14059770;131.35;61.149995573
49684609;13584758;122.08;56.378320844
48815798;12443698;123.14;56.331803038
48559348;12515677;120.66;56.241452671
49845844;13016229;114.08;56.325487719
50380181;13652847;119.12;56.224027431
51645089;13829746;125.64;56.285844198
48860200;13115042;126.79;56.959240005
49347671;13319121;126.12;56.329594681
49220302;13538434;136.7;61.138053786
51166702;14591344;125.85;56.252832463
50592779;14145638;125.42;56.824067403
48544435;13201474;120.89;56.355513796
51744781;15057054;118.11;57.348385665
49619520;13898434;113.92;56.386520206
48962984;13451350;113.48;56.269124167
49412131;13712349;123.46;56.330107499
49725782;13715899;125.82;56.317323731
48315099;13016921;126.17;56.322804076
47807682;12769974;125.98;56.2998695
49460965;12968052;126.1;56.286523189
48362709;12206669;126.04;56.285823516
49429082;12772896;123.45;56.273242032
50036691;12997895;115.99;56.305974814
49525494;13462250;119.53;56.275185025
48923136;13276878;122.52;56.243299991
48323186;13203722;120.12;56.318859363
49153276;13514133;123.96;56.314187842
49254949;13429186;125.41;56.237230137
49315810;13480343;126.41;56.504335578
50011104;13523221;125.9;56.203962669
49439476;13271226;125.91;56.216331559
49871089;13471356;125.21;56.410712308
48829288;13442218;121.72;56.511544745
49949615;13547088;121.49;56.35243887
48862976;12919181;122.7;56.753969071
49613378;13596834;123.24;60.687623176
49098207;13352847;114.68;57.288508866
49203571;13459729;124.32;56.436106805
48999506;13045873;125.81;56.213325661
49846111;13415616;125.89;56.278996973
48987465;13232317;125.99;56.216329116
48994252;13170199;126.05;56.328446057
49141513;13216094;125.75;56.246160657
48962394;13190524;125.12;56.300771945
49586010;13512037;123.07;56.694518154
49931877;14197024;120.86;56.283121807
52644910;15252362;123.39;56.313691655
50926902;14055520;121.59;56.239412861
50921892;14112260;125.81;56.385036948
50469694;14677534;126.1;56.407444242
50077324;13999755;126.27;56.367858608
49723185;13753365;127.1;56.716733445
50234146;13994111;124.93;56.256439786
48451595;13168991;124.08;56.205399537
47798859;12814837;118.27;56.399884375
49787113;13186157;119.75;57.229673057
48815771;12341889;121.15;56.484663051
48725263;12338929;124.07;56.441517573
48568375;12415168;125.57;56.23978205
49094794;12590880;125.42;56.199129878
48485118;12406634;125.79;56.241027176
47989068;12089300;126.23;56.311431321
48370137;12252066;126.79;56.637054926
48247981;12495768;124.33;56.365758377
48530099;12391588;124.03;56.205223977
48327987;12350400;121.38;56.426459881
47882071;12275660;116.84;57.16149026
47739056;11947846;121.2;56.604845064
49226114;12585253;117;57.201156664
49630162;12693340;124.07;56.195462023
48250124;12133612;125.98;56.269204745
50087488;12701758;126.08;56.357548119
49086881;12731768;126.19;56.299606912
49272164;12935030;126.21;56.321305821
48846328;12754161;125.12;56.275530299
48981983;12573401;125.43;56.89438469
49854024;12992536;117.71;56.455306685
49166386;12467371;120.09;56.275700741
48848894;12466297;113.23;56.314112545
48357837;12395311;118.15;56.212920608
48322640;12403276;124.66;56.282482772
48352838;12474246;125.89;56.381748986
51263888;13969464;125.87;56.311822571
49252321;13354256;126.15;56.265661779
48699051;12480164;126.05;56.231182404
50827960;14589141;125.03;56.316625572
50412465;14159355;122.98;56.340294146
48724877;12980248;120.37;56.170311498
49090818;13447758;121.86;56.273672659
49160641;13426719;121.8;56.317449109
