CacheRefs;CacheMisses;Energy(J);time(s)
10936972;3183503;153.27;68.72948908
43850088;11453799;153;68.38074791
44625207;11989759;153.77;69.233782544
42245345;10388120;148.34;68.74340498
43638630;11746639;145.17;68.973532485
42884127;10992212;153.83;69.196476507
42519231;10778338;153.82;68.828039787
41087568;10243658;153.55;68.711011538
42573896;10397670;154;68.928669372
41513437;10122308;153.7;68.714335654
41525245;10188855;154.66;69.282256751
43343369;10769412;148.34;69.34118488
42302195;10565811;148.6;69.361988296
42981097;10637153;150.05;68.968859958
42296006;10518272;154.57;69.232876468
41926537;9765942;154.61;69.105809983
41874860;9736044;153.78;68.799801889
41433245;9565356;154.53;69.083570742
42934421;10012810;155.06;69.275230631
42404739;9765369;153.73;68.996697075
41295198;9391832;152.53;69.015450137
41676125;9495406;150.58;68.957564886
41677199;9519217;149.6;69.097423668
42827183;10090916;154.38;69.268784227
42215416;9919528;153.77;68.891023959
41856069;9657218;152.97;68.469222774
41705938;9662388;153.77;68.711485224
41450919;9553195;154.96;69.225870739
41481318;9610655;153.11;68.503749783
41481346;9569410;149.64;68.957354063
41573663;9667734;145.84;68.468692938
42388098;10224716;145.47;69.234911965
41503850;9782604;150.67;69.349930208
41326600;9442821;154.58;69.185939975
42204926;9660075;153.37;68.59397081
42807584;10105920;155.02;69.235922774
41411704;9640745;154.96;69.218784989
41555875;9663485;152.96;68.796507951
41526228;9697052;149.85;69.188632355
42285036;9841924;149.58;68.819776494
42046822;9824286;151.56;68.385878673
42627363;9823742;152.29;69.272731536
42025229;9617225;152.9;68.392089635
41847968;9569295;152.9;68.410385469
42481240;9693467;155.05;69.282959254
42343903;9719692;154.62;69.087867329
41860042;9609169;152.72;68.410357219
41945877;9628225;153.44;69.269731204
41742956;9662743;152.19;68.984819333
42042276;9660508;145.94;68.421410551
42132044;9639702;153.08;68.554123913
41476460;9476693;154.83;69.258862741
42711281;9823149;154.29;68.970950894
41587494;9559097;154.99;69.257116802
42030385;9645480;153.75;68.7654795
42146669;9941701;153.08;68.7200427
43906638;11628009;152.27;68.430804611
41772535;10281184;147.83;68.966916372
43923565;11871738;152.89;68.816422237
44260865;10983707;153.99;68.881742216
42716644;10241229;153.87;68.865698933
42915835;10389665;153.8;68.721679864
41907650;9660546;154.84;69.135262151
42745186;9991339;155.91;69.920968912
41671330;9585468;152.48;68.448435231
41122725;9607981;148.83;68.731364418
41464871;9626436;149.46;69.293554801
40853050;9463404;148.63;69.217217246
41947253;9670047;154.4;69.211371459
41383068;9451915;154.9;69.261391202
42201182;9761141;153.65;68.729322261
41876350;9728400;153.83;68.692577148
42503342;9782406;153.82;68.761376887
41580939;9539580;154.45;69.223361733
41452972;9350102;151.55;68.391568607
41581733;9584049;153.94;69.22716476
42524198;9670105;149.18;69.276124545
42136268;10331331;153.22;68.756849101
42353529;10495123;153.48;68.751463375
41966988;10343778;154.74;69.243293836
41848498;10300939;153.19;68.467772515
41770204;10202179;154.14;68.939326191
42627009;10511876;152.56;69.050211015
43016793;10935401;149.72;68.526726204
41311180;10190170;147.45;69.441563447
43710743;11297709;147.1;70.339784135
45303057;12309560;152.38;68.716605597
41886321;10256699;154.3;69.103630724
43561586;11825382;153.4;68.585723513
43157067;11134098;154.27;68.914493165
42705851;10911006;153.83;69.243695635
42181526;10920368;153.03;70.423477023
42427042;10408010;152.33;69.212869743
42464574;10404134;152.75;68.762401854
41781502;10256951;149.84;68.787809838
41887105;10350108;153.65;68.705222273
41814801;10321173;153.66;68.707030324
42759320;10490083;153.98;68.893759579
42211702;10182275;153.77;68.731538964
42004565;10378086;152.13;68.47190654
