CacheRefs;CacheMisses;Energy(J);time(s)
118680313;21502161;628.81;281.136261804
46519175;15745726;6.92;521.789509725
29912725;11287204;623.37;279.525717209
28514160;10208190;585.72;278.296943373
25950446;8134139;643.81;289.059657948
24781048;7546928;609.49;280.262533078
25709717;7928686;610.08;277.991417005
26484687;8366204;612.66;278.138727093
26078486;8132110;584.4;280.092405058
28776467;9992433;635.48;284.977930072
24419293;7386310;572.05;280.217563032
24656651;7370301;624.58;280.838260338
24334049;7292076;608.06;282.951720235
24859981;7909020;604.07;278.553772651
24378605;7372342;621.56;280.81065324
28061860;10000486;593.68;280.755651317
25396428;7887312;630.34;282.765916486
24802702;7523131;599.09;281.57735326
24883595;7645726;624.35;281.422326218
25305901;7897805;600.05;279.592359865
26724849;8480244;614.24;280.439233222
26586256;8364684;614.54;280.960038598
27129711;9581810;610.65;278.883839803
24464633;7481256;602.16;279.29399443
25051680;7912360;613.07;279.299338124
23809660;7052386;615.12;281.366001278
25217673;8205106;601.09;279.407443085
24003764;7459415;622.35;281.063870937
27203177;9856805;605.81;281.314286031
25505584;8112526;617.22;280.142709622
30695162;8671899;600.46;281.008743383
26159489;7686689;631.14;283.153328265
25649841;8239829;596.39;281.556808337
24356808;7564703;615.09;278.064074944
24790276;8041220;595.52;278.048901762
29406672;10191479;592.82;278.533255437
26973916;8149477;620.21;278.140858726
31543309;8920290;585.49;281.776856384
35165067;9855600;621.56;278.729116499
30198042;9322141;601.91;278.802017902
23425751;7066075;612.86;281.309492834
30101077;10501785;620.11;280.193764812
29239048;9128730;593.08;281.004867045
25152533;7447796;620.22;278.278593006
29304104;8719446;573.5;280.439913906
27403239;8373396;627.02;281.550774319
29886313;8889445;601.93;281.515607872
27977473;8850604;608.12;278.551406274
35395698;11594244;618.89;279.706861054
26184220;7805096;581.25;278.345483308
23404523;7149910;626.74;281.517101386
29579017;8748499;562.5;278.555559315
26159717;7896058;628.8;282.645114303
32667993;9425915;620.42;284.279207279
35704297;11795282;616.2;281.595099516
27765380;8511893;616.71;280.812858127
23584029;7205591;582.47;280.51044222
32383542;9220924;621.86;278.912528234
30259262;9239685;589.53;278.214947133
27137052;8269050;627.49;281.5379552
25802816;8002162;590.13;278.681965506
27897811;9520007;603.51;281.599644663
23783777;7285375;621.15;279.465366185
23605692;7026603;577.3;280.84588171
26395953;7834701;626.06;280.951286662
26975130;8399929;582.97;277.880626357
27190694;8262365;610.29;279.754335241
39967607;13612247;7.92;519.83589299
29025921;8427955;621.5;279.217949682
24338055;7481647;597.52;278.04531552
27432155;8215987;608.58;277.843501993
30379690;9117805;610.88;280.180502414
23983928;7350230;604.12;279.69132478
30717756;10783319;630.16;283.20469513
31529580;9203773;594.25;281.584746949
23671325;7215193;620.51;278.481029437
26755393;7917067;595.73;280.322794574
26766943;8094700;613.88;278.00647468
27027229;8011350;620.42;279.547671123
29868625;10140460;588.23;280.911000999
26052569;8855546;632.93;283.918798199
26767604;7975693;607.42;278.1082276
26362335;7859317;610.11;278.613310283
26931045;7917343;629.08;282.738048785
30666744;9244338;580.89;279.444040848
27177319;8165113;623.13;279.528059637
30744137;10759436;603.15;284.887169464
32340620;9462332;15.06;521.75527093
26670177;7839927;587.51;282.404340273
27293504;8294728;619.82;278.177154483
29729141;8637336;595.28;279.315944738
29394409;9602981;608.03;278.563216065
29043552;9501495;622.26;280.389085333
26963107;7952933;594.48;281.511501051
37530883;10572631;630.03;281.83054563
27002912;7984616;585.43;279.101138019
33748148;10213469;625.98;280.762938129
27090387;7931979;599.09;279.19488913
28091572;10288887;609.49;281.042395463
30182919;8797060;612.52;279.613118091
