CacheRefs;CacheMisses;Energy(J);time(s)
61300968;7657791;21.23;9.276464229
11060223;2873643;29.63;15.385770651
9513249;2287545;18.84;9.278360771
9757838;2441599;18.72;9.264371343
7835080;1728747;18.75;9.295449153
7513873;1750568;19.87;9.253757188
7379013;1678646;18.5;9.259972408
10179598;2338204;19.79;9.25501941
7770570;1970661;19.67;9.367798996
7803702;1701404;19.73;9.26012493
7399594;1815877;19.48;9.275438662
6977014;1589075;19.27;9.243000711
7312477;1715863;19.55;9.254049829
7541354;1775141;18.7;9.242029162
7164218;1809005;18.48;9.255012293
7561893;1750850;19.24;9.300766784
8423036;1914094;18.81;9.304655667
7263255;1660771;19.18;9.246776936
7165041;1764234;19.47;9.282704399
6750537;1555524;19.8;9.26945919
7572448;1954071;20.46;9.275910223
7013972;1740015;19.83;9.241183614
6847789;1590401;20.46;9.270539669
7494997;1813482;20.46;9.284803516
6725945;1477487;20.59;9.263286692
6620804;1502950;20.58;9.273354293
7752603;2018414;20.64;9.26777825
6931173;1688933;21.36;9.609547001
7090575;1710733;20.52;9.289205936
7774099;1910346;20.62;9.273917414
10312716;2085649;20.64;9.243154378
11695657;2362647;20.73;9.262410911
7661180;1923939;20.65;9.253117421
8218900;2007913;20.67;9.265731935
7097482;1786514;20.71;9.278325357
6609741;1495905;20.62;9.249639115
7434410;1848538;20.65;9.24999432
8458607;2168489;20.73;9.284677226
6748797;1539863;20.7;9.280301172
9007429;2253462;20.69;9.261122198
8057348;1880903;20.64;9.24284747
6836969;1619512;21.23;9.518152469
7232471;1811059;20.62;9.241207803
6423194;1385226;21.06;9.45131897
6732490;1576968;20.58;9.257851938
7458379;1870317;20.58;9.270376471
9809733;2421242;20.23;9.267389249
6820168;1578335;20.35;9.272417634
7327967;1794461;20.32;9.269355461
8183601;2024489;19.62;9.267779523
8363060;2037216;19.81;9.24835954
6695549;1550596;19.45;9.262153661
7309603;1842514;20.26;9.263603969
7255766;1691335;19.87;9.284480083
7008331;1785202;20.2;9.452704282
9705303;2887926;19.85;9.268888377
8964779;2557990;19.09;9.250215141
7518926;2174925;19.68;9.264551773
8325306;2607959;19.6;9.236576652
7297708;2090358;19.71;9.461689219
8846513;2130787;19.23;9.237259278
7652733;1743952;19.57;9.487337936
9721569;2482146;18.57;9.250894596
7376072;1728580;19.37;9.255569634
6612360;1457652;19.62;9.236400052
6787406;1590045;18.99;9.448907805
7361681;1846693;18.7;9.27809256
7248714;2101169;19.54;9.263898881
8791555;2436789;18.64;9.262756342
9136499;2331102;18.71;9.32198227
6674763;1488262;18.48;9.254658892
7013476;1637861;19.02;9.271226072
7071997;1904543;18.3;9.260450729
7241085;1868136;18.28;9.274982969
6807817;1622550;18.53;9.28983343
8093488;1973609;18.72;9.270754539
8592609;2207093;18.42;9.263759098
6757742;1606246;18.26;9.257080464
8382905;2062966;18.2;9.251127607
8224614;1946884;18.31;9.262996898
6940987;1801744;18.28;9.250817898
7225897;2069144;18.17;9.245004199
6836597;1699581;19.36;9.337750174
6516453;1400766;18.28;9.29274411
6750469;1708244;18.55;9.247319053
7378907;2061894;19.21;9.258729687
6907575;1609770;19.99;9.273610089
6463678;1367358;20.14;9.237776419
6791242;1582687;20.11;9.251074318
6636239;1512444;20;9.258257053
6682448;1573180;20.4;9.23442919
7369436;1999365;20.35;9.267194474
6716852;1528098;20.43;9.242637817
6673390;1591049;20.58;9.255361084
6682827;1546476;20.48;9.255644638
6760739;1590539;20.97;9.417216732
6565610;1495052;20.49;9.244166333
6707472;1632004;20.67;9.270589008
7133585;1859697;20.49;9.257848403
6613575;1524336;20.57;9.252585311
