CacheRefs;CacheMisses;Energy(J);time(s)
100563861;9619697;22.99;9.566838962
8103078;1874232;20.56;9.587377904
9846869;2283780;19.87;9.472862718
8094583;1827834;20.13;9.493055912
8045054;1842976;20.02;9.465378992
7972329;1746874;19.94;9.475191771
8951071;2048374;19.62;9.462494354
8939087;1927269;20.33;9.477975641
9442234;2257731;20.06;9.469589659
7297030;1654115;19.87;9.639264301
8218331;1955974;20.46;9.478350778
7495825;1686322;20.44;9.510505025
7132923;1599668;20.08;9.45425665
7471188;1670070;20.06;9.515127053
7780739;1870176;19.6;9.482624294
7679857;1705546;19.76;9.479095199
8368369;1845474;20.71;9.695238109
7426596;1616974;20.48;9.587267629
8886154;2152510;20.51;9.695012204
10135882;2467006;20.02;9.483554948
8550470;2058929;19.77;9.555731118
8899210;2128466;19.86;9.455769987
7214856;1652719;19.83;9.466398111
8868294;2130505;20.02;9.673538152
7345701;1724195;20.63;10.233844622
7097390;1636715;20.14;9.612499203
8923550;2216786;20.05;9.46839095
7414014;1849187;20.24;9.500256184
7307812;1790363;19.71;9.562570584
7112797;1661120;20.12;9.456608549
9881512;1953917;20.78;9.947185861
11478278;2334335;19.58;9.492623935
8477074;1962420;19.4;9.498157165
9079498;2206916;19.35;9.466613847
7019259;1541732;20.62;9.760596278
7434008;1845362;20.71;9.817041939
7189294;1663073;20.31;9.476108994
7030837;1630665;19.99;9.471520059
8695797;2024690;20.18;9.45416453
8694682;2102301;19.97;9.475217791
7057916;1572917;20.16;9.478512417
7295138;1762007;19.99;9.489543015
7262878;1702850;19.61;9.574119152
6868678;1452106;20;9.661746089
8629596;1993427;20.58;9.508456937
6986611;1557662;20.65;9.484788105
9671803;2845865;20.5;9.548531485
7633563;2101643;19.58;9.673954076
9441280;2763807;20.12;9.520694927
9361947;2619470;21.12;10.222106892
7665825;2087591;19.84;9.62868047
7571105;2072381;20.05;9.47483099
7346425;1743102;20.32;9.465870923
7020673;1580816;20.56;9.474615977
7144134;1693207;21.23;10.252151033
7442564;1734432;20.39;9.520588748
7362339;1838797;20.72;9.750776634
10611735;2889676;20.3;9.467771779
7804411;2111590;20.33;9.488779346
6847915;1494078;20.55;9.46073545
9881054;2134250;20.07;9.474466051
10083319;2293907;20.59;9.626496268
7026872;1560616;19.84;9.461316026
7312196;1836415;19.4;9.483494957
7576333;1973130;20.29;9.480694536
7317544;1688687;20.37;9.506969594
8708677;2097516;20.3;9.473895089
7286659;1699785;19.78;9.467972719
7025959;1558837;19.82;9.488009277
8845852;2220267;19.62;9.461681372
7293204;1860306;19.73;9.577736938
7356298;1845452;20.5;9.576851521
7118143;1675998;19.24;9.446099388
7050067;1606155;19.33;9.479949722
7576768;1944835;19.99;9.475115977
7156911;1599746;19.5;9.47534463
6931405;1570980;19.57;9.458254487
9215922;2336109;19.59;9.470431936
7056295;1624835;19.63;9.515016069
7380447;1825827;19.98;9.486164421
8775863;2124006;19.98;9.490923043
6990898;1596848;20.19;9.469241796
9999969;2357609;19.57;9.514341242
7192098;1675431;20.34;9.561234546
7031682;1578587;19.79;9.464009373
7215107;1704544;19.55;9.496464957
7406975;1791875;20.42;9.484886027
6881444;1478497;20.26;9.468570397
6955882;1543178;20;9.47000205
7324150;1770723;19.65;9.475020388
6971461;1550484;19.81;9.482638056
7176071;1670032;20.53;9.465684348
6877785;1562104;19.9;9.462001407
7271931;1728459;21.2;10.147243762
10167492;2380290;20.19;9.491778134
6867351;1455560;19.8;9.47800804
7378721;1611436;19.66;9.501821597
7078483;1593068;19.89;9.601216942
7192937;1735718;19.45;9.469103601
7302105;1746213;20.24;9.512757749
