CacheRefs;CacheMisses;Energy(J);time(s)
12806197;3466171;25.89;11.549498822
36403373;8435252;26.23;11.586583721
5147788;1284925;25.9;11.606844953
36991069;8448716;26.22;11.544191016
4603403;1085775;25.65;11.498053425
37430973;8849198;26.44;11.609065107
4866991;1184605;26.02;11.66858653
36402459;8433623;26.36;11.616873345
5064289;1276165;26.61;11.927430136
36891491;8582608;26.01;11.50316108
5484972;1369334;25.67;11.506875539
37039978;8612639;26.29;11.556409803
5915357;1714969;25.77;11.546375581
36904300;8808713;26.32;11.549538053
5649110;1840824;25.86;11.588013566
38048860;9502430;26.12;11.487302545
4966702;1441674;25.78;11.555518546
37605830;9049699;26.18;11.55707466
5693026;1788631;25.6;11.476534083
36994188;8747435;26.24;11.515914938
5054500;1339041;25.74;11.536562732
36531046;8492918;26.45;11.611847352
4433839;951674;25.77;11.55307063
36100301;8713450;26.1;11.50152826
4537814;1049241;25.74;11.537228791
37903130;9214701;26.21;11.574082771
4359150;1011754;25.72;11.530297291
36017074;8346487;26.25;11.523476328
5040812;1556203;25.69;11.516133527
37213940;9069165;26.45;11.620539468
5064255;1496982;25.64;11.490959255
36308909;8668164;26.1;11.522129257
4347245;931041;25.88;11.603850133
36896261;8765893;26.33;11.611667574
5433855;1558287;25.72;11.527323582
36265876;8778538;26.28;11.508710504
4587812;1174188;25.79;11.560226487
36031523;8394551;26.54;11.643568196
4234326;899819;25.67;11.505529567
36670993;8534001;26.16;11.56846049
4643365;1085431;25.69;11.510169344
36736999;8883641;26.21;11.53209026
4475424;1042111;25.75;11.539771742
36837710;8023231;26.45;11.589417084
4825398;1400387;25.75;11.53935042
36788337;8069899;26.39;11.558386818
4214250;903088;25.67;11.511287868
35958445;7817192;26.03;11.514614956
4376073;996518;25.68;11.545052565
37185417;8070468;26.3;11.559622346
4508659;1030557;25.52;11.544436049
35761928;7733526;25.39;11.540296684
4457217;1015687;25.48;11.540476078
35595847;7582628;25.77;11.53762139
4559834;1156353;24.88;11.550001057
35476853;7452041;24.62;11.493027611
4309754;954283;24.7;11.555261471
35874410;7640530;24.31;11.512168351
4590928;1079469;23.55;11.544268424
34962033;8041904;25.46;11.546371512
4634272;1192774;23.05;11.501358312
36651896;8507286;24.2;11.50455343
4200587;919804;23.87;11.517425278
36623285;8435159;25.4;11.542125605
4272101;927249;25.29;11.577938949
38576206;9741614;26.24;11.565166149
4393197;1011448;25.56;11.588159974
35866441;8376774;26.35;11.603092992
4327591;958969;25.62;11.541747398
36542008;8475368;26.01;11.487956684
4649981;1215611;25.56;11.486549324
35943293;8440066;26.12;11.559934915
4426043;1011696;25.56;11.482164505
36193550;8454289;26.18;11.512181116
4314904;964852;25.82;11.589648406
37176229;8733229;26.26;11.539625968
4400061;976866;25.72;11.538684147
35872401;8477930;26.22;11.603912973
4320035;988467;25.74;11.549865865
36613853;8435315;26.09;11.513780523
4384380;1028872;25.72;11.537351964
35876456;8359121;26.35;11.547967259
5721049;1387190;25.77;11.54531409
37416747;8783593;26.25;11.509445186
4340540;1000706;25.69;11.516848076
35619081;8273545;27.09;11.984266612
4844850;1234445;25.63;11.488017391
36334286;8501609;26.09;11.508752742
4467925;1019343;25.77;11.557460265
35273782;8264690;26.35;11.562119116
4262921;948499;25.75;11.541085626
35272962;8123655;26.5;11.643551704
4520918;1059435;25.75;11.542020446
36002192;8281545;26.17;11.574888406
4542383;1076615;25.61;11.476252822
35626218;8195814;26.32;11.616005935
4495345;1139829;25.66;11.501468892
36302063;8429602;26.33;11.549021881
4466608;1029244;25.83;11.582361682
36379804;8468344;26.24;11.507326469
