CacheRefs;CacheMisses;Energy(J);time(s)
5401022;1082159;8.47;3.973494005
5319527;1067316;8.47;3.931515639
29887317;7392318;9.02;3.995062789
12834796;3441571;8.81;3.966448383
5561843;1185041;8.47;3.949951544
5441369;1130043;8.22;3.925119201
29327449;6591352;8.85;3.946449258
13102731;3495071;8.44;3.945401436
5349010;1029247;8.24;3.936934962
5462580;1158006;8.11;3.98191047
31238482;6877288;9.23;4.264182271
11491187;3145628;8.64;3.952364979
5552034;1138422;8.51;3.932766023
5394626;1060728;8.09;3.937357948
29664701;6561508;8.99;3.976396113
12920725;3460087;8.66;3.951252593
5471272;1109840;8.44;3.9316822
5544123;1240317;8.23;3.955850766
29856363;6627442;9.09;3.934139215
13259634;3529915;8.32;3.952257361
5454162;1148166;8.45;3.947829173
5581387;1190462;8.11;3.989306505
29169400;6535527;8.8;3.952466353
13240211;3541528;8.78;3.941064247
5460211;1136456;8.06;3.936641822
5327396;1037332;7.94;3.941562978
29517768;6507446;9.11;3.951867522
13366301;3572687;8.31;3.959026283
5509563;1080202;8.29;3.945549301
5436248;1104055;8.22;3.939009825
29036582;6433225;8.95;3.931565121
13212759;3510959;8.15;3.973441771
5861265;1416414;8.1;3.927547843
5457571;1107365;8.22;3.933456034
28849486;6324667;8.85;3.943799648
13387559;3641595;8.2;3.942350636
5655478;1225568;8.19;3.991313412
5331499;1043625;8.41;3.977228541
29193629;6494635;8.8;3.963667396
13124885;3656241;8.64;3.927913099
5500050;1192518;8.17;3.922092547
5183147;966193;8.28;3.958429758
30169852;7415019;9.06;3.986588308
13306435;3756642;8.96;3.975806366
5450960;1154509;8.58;3.962268838
5426595;1113369;8.5;3.933962635
29348225;6983330;9.07;3.963555927
13703195;4058838;8.73;3.938196692
5563422;1201487;8.86;3.991670158
5283130;1000528;8.59;3.937826709
29157781;6976678;9.01;3.9394684
13652715;3993649;9.07;4.000995274
5452525;1122502;8.72;3.975947411
5484353;1097368;8.79;3.938982083
28707246;6970233;9;3.957922009
13313172;3787781;8.92;3.960985752
5569324;1143647;8.74;3.964569511
5461883;1105788;8.98;4.047698931
29095870;7009477;9.11;3.958908998
13189425;3813310;8.83;3.928517861
5520070;1147474;8.85;4.017148205
5361611;1065280;8.81;3.941444877
28859711;7028895;9.2;3.962755631
13045772;3691507;9.01;3.967037974
5577433;1146546;8.75;3.92332201
5526610;1156173;8.82;3.94339841
29682930;7195862;9.21;3.943971453
12980459;3678703;8.97;3.959201504
5538982;1176578;8.85;3.958004874
5369231;1050749;8.81;3.950831915
30278451;7320860;9.4;4.028529638
12473803;3544231;8.95;3.938759315
5429147;1101147;8.82;3.947354112
5640799;1171629;8.85;3.960582646
29638497;7296861;9.18;3.94120011
13601397;3916437;8.98;3.957129116
5453157;1082747;9.55;4.282475334
5666406;1279731;8.81;3.93989057
29624852;7119899;9.2;3.998311662
12880074;3668405;8.92;3.941411393
5604384;1177223;8.88;3.967491708
5513034;1154590;8.81;3.939156646
29408247;6992126;9.27;3.995144982
12370562;3349458;9.14;4.021832134
5505075;1161032;8.88;3.96896487
5447725;1147652;8.78;3.930255587
29722217;6583570;9.37;3.993913316
12817190;3400542;8.97;3.944853358
5703626;1219803;8.81;3.934821932
5431172;1116753;9.49;4.249580586
29177960;6538327;9.22;3.937574102
13457716;3602203;8.98;3.948409598
5616727;1276749;8.83;3.947450077
5339093;1098340;8.82;3.939744207
29963792;6632537;9.29;3.971246401
13248352;3623196;8.9;3.930063933
5514121;1089197;8.84;3.95377368
5343338;1028700;8.84;3.95530655
29340136;6992018;9.18;3.950759475
13204899;3744244;8.93;3.928058853
