CacheRefs;CacheMisses;Energy(J);time(s)
63909878;5845112;9.99;3.973687516
19831980;2356150;8.9;3.931234815
6643032;1349819;8.29;3.954848056
5704869;1067299;8.37;3.946028451
5498495;1091226;8.11;3.940365217
6077014;1188224;8.55;3.932316869
6320658;1338769;8.52;3.970228777
6640441;1508234;8.52;3.961045274
5685885;1074059;8.17;3.932034765
6392865;1465205;8.11;3.937421222
7713917;1667968;8.53;3.953927621
5921681;1146461;8.14;3.953724355
5459149;1112456;8.08;3.944759915
5919984;1147900;8.13;3.939274456
5732206;1246462;8.32;3.964688698
6750873;1606985;8.67;3.954544085
6852740;1268566;8.57;3.982462168
6391841;1251778;8.35;3.931855477
7001193;1562451;8.54;3.929681193
5460365;1088352;8.65;3.984941543
5449649;1133575;8.83;4.067503337
5962505;1225858;8.22;3.974432524
6361919;1558595;8.38;3.997053529
5591701;1113957;8.61;3.994182464
5466952;1047780;8.28;3.926353484
5395195;1066119;8.53;3.938867254
5489177;1093363;8.56;3.93589096
5275971;1025977;8.13;3.925167035
5413737;1058815;8.35;3.958810484
6039022;1314566;8.66;3.991721289
7481590;1197838;8.32;3.939934715
8271460;1453390;8.51;3.945852139
5390925;1079416;8.33;4.113731622
7021620;1498912;8.24;3.938833741
5464054;1102096;8.28;3.984805952
5367893;1080801;8.73;4.009686713
6070400;1253929;8.53;3.95878
7066339;1499405;8.25;3.934454416
5476647;1107534;8.14;3.969191469
5414664;1092941;8.48;3.95805693
6775436;1403982;8.64;3.938349157
5546426;1118076;8.37;3.937257293
5294930;1077048;8.66;3.965867077
5513499;1046431;8.43;3.959441055
6295760;1478975;8.33;3.978298789
5458615;1116588;8.59;3.927175867
5516788;1146923;8.24;3.941558553
5405263;1088488;8.47;3.922654351
5528818;1152639;8.5;3.950315115
5272145;985079;8.52;3.944518561
5308472;1036298;8.49;3.926759793
5766551;1216883;8.25;3.956133277
5565324;1247214;8.33;3.967782057
5380759;993844;8.24;3.934078552
5412087;1094717;8.54;3.94059115
5565597;1263162;8.2;3.922238127
5513013;1074094;8.62;3.948122282
6073195;1502681;8.36;3.948795354
5500957;1134271;8.66;4.010094534
6219336;1418223;8.57;3.931376117
9034571;2154790;8.55;3.95222815
6340221;1248723;8.45;3.938997593
5271775;1024701;8.53;3.930298351
5541001;1121759;8.65;3.966904805
5350184;1025195;8.65;3.960483681
5386115;1056232;8.65;3.99100516
5563423;1130430;8.63;3.987627974
5568979;1205815;8.39;3.937683599
5673463;1158985;8.3;4.002825384
5395332;1085732;8.23;3.937355863
6944700;1511528;8.4;3.973644374
5571986;1201702;8.36;3.944207146
5321451;1047486;8.2;3.943445273
5735237;1073739;8.56;3.924534729
5823354;1239673;8.64;3.956842301
5520448;1185093;8.6;4.008265592
5388211;1047044;8.49;3.941352647
5248606;1006904;8.43;3.941607419
5322001;1045170;8.48;3.922682116
5444161;1080963;8.5;3.927024917
5386556;1106753;8.47;3.94424332
5703138;1223482;8.35;3.943819332
5620515;1261150;8.5;3.967601702
5408011;1099494;8.52;3.958281159
5378404;1015074;8.59;4.038355458
5352870;1118624;8.41;3.937417083
5408171;1102315;8.48;3.95276201
5380115;1070573;8.44;3.941949701
5458519;1093695;8.47;3.943804485
6284631;1482975;8.2;3.930035246
7009368;1704418;8.38;3.926334328
5505015;1140996;8.36;3.951642451
5296209;1025546;8.58;3.94055024
7069685;1749141;8.46;3.953752375
5440119;1118920;8.54;3.958445511
5323467;1062705;8.23;3.939614262
6586878;1827674;8.56;3.96785249
5934797;1460415;8.2;3.922262193
5479748;1105003;8.24;3.96285237
5332856;1073580;8.48;3.967903706
