CacheRefs;CacheMisses;Energy(J);time(s)
3819792;941127;10.02;4.698733508
32922397;7558445;10.82;4.876370262
5379345;1397452;10.46;4.732001459
3749113;859457;10.11;4.824987898
3578212;773552;10.03;4.762172385
31805452;7222061;10.36;4.712484478
6973957;2127962;9.98;4.751323895
3542859;774670;10.12;4.800647236
3375934;676070;10.27;4.851521815
32439816;7393732;10.56;4.779944437
6137874;1664806;10.5;4.732461025
3538697;772375;10.18;4.813287961
3743141;841707;10.12;4.79880624
31910964;7254203;10.77;4.750869401
6390369;1814135;10.47;4.831118335
4060444;1079933;10.41;4.736914907
3496496;730154;10.49;4.811772786
32415451;7376429;10.85;4.789292949
6302346;1735829;10.7;4.805089862
3627758;833838;10.46;4.703281347
32367898;7373322;10.99;4.781741588
6336157;1857774;10.59;4.734934069
3616553;806046;10.55;4.747390077
3424845;663788;10.43;4.68702616
33544630;7570189;11.31;4.85553525
5370182;1356696;10.49;4.685030045
3605548;819904;10.5;4.715443003
3587751;784091;10.67;4.784950952
32867113;7400238;11.18;4.820732838
5549972;1445754;10.6;4.728629783
3601995;796835;10.51;4.719510364
3712418;811471;10.92;4.890984611
31165451;7042998;10.97;4.763591149
6258532;1793590;10.8;4.82510016
3538835;766608;10.83;4.852185537
3589982;764696;10.71;4.799947665
32469819;7504517;10.79;4.707292348
6661851;1924857;10.76;4.79877712
3653299;809687;10.87;4.868467429
3427268;680722;10.5;4.705013466
32284820;7417282;11.04;4.755642111
6330343;1748395;10.82;4.819025879
3680893;867271;10.51;4.711754944
33428120;7691046;11.38;4.850773586
5621972;1503006;10.54;4.697101611
3558326;799063;10.8;4.838954456
3525788;750892;10.77;4.828851388
32476512;7003173;11.37;4.865737169
5322131;1307974;10.89;4.857076085
3774508;853194;10.59;4.74795383
31053504;6464761;10.87;4.715579974
6721609;2012255;10.57;4.716035758
3702518;838167;10.68;4.783756768
3764838;942809;10.87;4.869795104
31473626;6510248;11.18;4.773358352
6616099;1937181;10.76;4.786813668
3965871;902589;10.51;4.706314561
3669387;852227;10.59;4.744348368
31988535;6655540;11.18;4.760345905
6525499;1933723;10.84;4.824300235
3525180;767234;10.9;4.886131135
3546921;761658;10.66;4.775888264
33973405;7246608;11.41;4.85812234
5413751;1376550;10.53;4.694220932
3644586;812395;10.76;4.820872821
3691287;878368;10.91;4.883049814
32679149;7412383;11.21;4.797897556
6218168;1840454;10.71;4.77086019
3818080;896630;10.91;4.885558454
31264710;7009668;11.21;4.824927817
5812616;1622950;10.69;4.769096467
3614089;784163;10.63;4.761236721
3579747;791452;10.71;4.79491359
31201640;6980011;11.19;4.832533196
5697403;1547815;10.7;4.770672369
3487332;746533;10.78;4.829446518
32416785;7397255;11.17;4.804932048
6216187;1856090;10.94;4.866727929
3660693;840857;10.48;4.694262005
3504482;728528;10.82;4.842964753
32604204;7270338;11.25;4.790144688
6172318;1784297;10.84;4.819586849
3491911;695525;10.9;4.882210468
3620623;795403;10.76;4.821621124
31799326;7284215;11.04;4.763153866
6289705;1775263;10.9;4.859319383
3723644;797475;10.86;4.874444408
31393732;7076141;10.92;4.75697279
6361469;1878237;10.79;4.820828961
3727158;794441;10.52;4.738022137
3736637;948256;10.82;4.87468175
32442974;7365190;10.9;4.794144408
6349554;1858501;10.72;4.812454101
3744479;901640;10.39;4.698828953
3643968;787523;10.58;4.758863594
32824418;7448434;11.01;4.788770001
6159287;1743982;10.84;4.841294597
3663942;839495;10.68;4.88386712
33059393;7411135;11.03;4.790817208
6331110;1851424;10.92;4.880095423
